,food,store_name,addr,tel,re_rank1,re_rank2,re_rank3,re_rank4,re_rank5,re_visitor
499,닭갈비,파전닭갈비,서울 영등포구 신풍로10길 2-16,02-832-5989,음식이 맛있어요 757,친절해요 251,양이 많아요 142,가성비가 좋아요 135,특별한 메뉴가 있어요 109,우리가 갔을땐 빈자리도 제법있었는데 얼마 안돼 만석 되었어요. 자주 가지는 않아도 저녁시간은 아이들과 가기는 조금 편하지 않을거 같아요.3인분 시켰더니 양이 푸짐해서 더 맛있는 비쥬얼이네요. 매콤함도 오늘따라 더 느껴져서 맛있게 먹고 왔어요. 볶음밥 하나 시켰는데 계란은 2개나 올려주셨어요. 배터지게 오늘도 잘 먹고왔습니다.
500,닭갈비,계진상 건대점,서울 광진구 아차산로 209 1층,02-6405-6116,음식이 맛있어요 417,친절해요 198,양이 많아요 189,매장이 넓어요 176,가성비가 좋아요 135,"맵기 선택 아주 좋아요. 그리고 세트에 음료 무한리필, 곰탕 제공되는 거 아주 만족스러웠습니다.맛도 너무 좋았고 다음에 또 방문하고 싶어요!!소주 이벤트도 하고 있고 3인 이상으로 오기도 좋은 거 같아요"
501,닭갈비,오늘도닭갈비 본점,"서울 도봉구 시루봉로 222 1층, 104-105호",0507-1394-1592,음식이 맛있어요 311,친절해요 223,매장이 청결해요 134,가성비가 좋아요 131,양이 많아요 124,매장 너무 깨끗하고!! 안맵고 딱 적당한 맵기였어요!!사장님 너무 친절하시고!! 다 구워주셔서 너무 편하게 먹었어요 ㅋㅋㅋ역시 마무리는 볶음밥!!!!!! 마무리까지 배부르게 맛있네요ㅠㅠ같이 주신 야채들도 전부 신선했어요!
502,닭갈비,춘천골 숯불 닭갈비,서울 관악구 신림동7길 46 우명빌딩,02-873-8592,음식이 맛있어요 404,가성비가 좋아요 207,친절해요 173,특별한 메뉴가 있어요 65,양이 많아요 63,몇년만에 다시 방문한건데 여전히 맛있고 좋았어요 우선 직접 구워 주셔서 넘 좋고.. 불이 쎄지 않아 신경 많이 못써도 안 태우고 잘 먹을 수 있습니다! 물막국수 진짜 맛있었어요 재방문은 무조건 할건데 맛 보라고 줬던 서비스 치마살이 인상적이라 이거 추가로 먹으려고요ㅎㅎ 맛은 물론이고 가격도 착해서 신림 맛집으로 추천하고 싶어요!!
503,닭갈비,항아리닭갈비막국수 송파문정점,서울 송파구 송파대로 111 108동 B128호,0507-1412-5520,음식이 맛있어요 983,매장이 넓어요 558,친절해요 500,양이 많아요 346,고기 질이 좋아요 316,"닭갈비가 땡겨서 방문했는데요~닭갈비와 막국수 시켰고, 생각보다 양이 많아서 놀랐어요. 그렇지만 둘이서 다 먹을 수 있구요,,익을 때까지 직원분이 다 해주시니까 편리하구, 닭갈비는 기대했던 맛이라 좋았고, 막국수도 생각보다 맛있었어요!! 자주 방문 할 것 같아요~ :)"
504,닭갈비,명륜진사갈비 서울마천점,서울 송파구 성내천로 236 1층,0507-1435-9994,가성비가 좋아요 123,음식이 맛있어요 118,양이 많아요 66,매장이 넓어요 66,친절해요 51,11시 오픈인줄 알고 11시 40분쯤 방문했는데 뷔페메뉴가 다 안나왔지만 고기 먼저 이용할거면 식사하셔도 된다 하셔서 오픈 전 런으로 ㅋㅋ 착석! 지난번 여름 주말 밤에 왔다가 대기가 넘넘 길어서 포기하고 갔었는데 문열때 오는 것이 진리네요~ ㅋ 불판까지 몽땅 셀프라 전 그게 더 편한것 같아요~ 대신 불판 손잡이에 기름때가 쫌 남아 있어서 위생장갑비치해 주시면 좋을 것 같아요~ 문정점에서 못본 백김치도 있고 ㅋ 매장도 넓고 문도 다 오픈되서 연기 맡을 일은 없었지만 살짝 춥긴 해서 꼭... 야외에서 먹는 너낌이었어요 ㅋㅋ 나중엔 문 닫아 주셨다는 ㅋ 담에 또 갈렵니당~ 
505,닭갈비,집밥뚝딱 쌍문점,서울 도봉구 삼양로 572 1층 집밥뚝딱,02-997-5782,음식이 맛있어요 232,가성비가 좋아요 168,재료가 신선해요 124,친절해요 120,매장이 청결해요 116,"집 주변 무인밀키트 매장중에 가장 먼 곳인데도 밀키트 구성이 알차고, 종류도 많고, 재고도 항상 채워져있어서 멀어도 자주 가는 곳이에요.근데 저는 분명 즉석할매떡볶이를 샀는데 조리중에 갑자기 구성품 안에있는 은박봉투 안에서 빨간가루가 아니라 검은가루가 나오더니 짜장떡볶이가 되었어요.. ㅋㅋㅋㅋ맛은 있엌ㅅ는데 당황스러웠어요,,"
506,닭갈비,나라구한닭 정통닭갈비,서울 강서구 강서로 378 1층 105호,0507-1422-2239,음식이 맛있어요 388,친절해요 165,매장이 청결해요 138,매장이 넓어요 111,재료가 신선해요 104,닭갈비 정말 맛있어요 발산역에서 가까운데 매장도 넓고 주차도 가능해서 좋아요 계란말이 만들어 먹을수 있는것도 소소한 즐거움이네요
507,닭갈비,본토닭갈비 강남점,서울 서초구 강남대로 421,02-508-6656,음식이 맛있어요 294,가성비가 좋아요 198,매장이 넓어요 139,양이 많아요 131,친절해요 93,"강남역에 가볍게 먹기 좋은 닭갈비 맛집이에요!가격도 저렴한데, 눈꽃치즈 무료 제공 및 볶음밥 무제한이라 더욱 배불리 먹을 수 있었어요 (∗❛v❛∗) 우동사리 추가하니 정말 배부르고.. 상추나 무쌈 등 밑반찬이 기본적으로 있어서 푸짐하게 먹었어요! 애인과 가기에도 좋고, 단체로 회식하기에도 좋은 넓은 내부라 좋았어요~ 다음에도 또 올게요! (´∀`)ｂ"
508,닭갈비,산골닭갈비,서울 광진구 구의강변로7길 5,02-444-7985,음식이 맛있어요 315,친절해요 79,양이 많아요 53,가성비가 좋아요 46,재료가 신선해요 45,<스티브 추천> 맛만 중요하지 않다는것을 확인 시켜주는 강변역 맛집손님도 많고 장사도 잘되시기에.. 더욱더 청결이 중요한데.. 너무 아쉽네요 자극적이지 않은 닭갈비.. 치즈 토핑 없이고 무한으로 흡입 가능한맛.. 적당히 노포 느낌도 나고.. 저녁에 나름 저렴한 닭갈비에 맥주 소주 한잔 하기 부담없는 장소..하지만. 사랑받는 만큼 최소한에 청결은 필요하겠죠..전 손님이 닭갈비 구워 드신 불판에 물을 올려 닦아내고… 다음 손님으로부터 주문 받은 요리를 같은 불판으로 하는 신기한 시스템.. 불판에 눌러 붙은것을 나이프(?) 긁어내고 물을 부어서 닦아내는데… 최소한 주방에서 설거지해와야 하는건 아닌지…..첨엔 그러려니… 했는데. 이번에 불판에 있는 물을 퍼내는 모습 다시보니.. 더이상 안갈래요
509,닭갈비,전통춘천닭갈비,서울 동대문구 장한로28가길 1,02-3394-7386,음식이 맛있어요 1460,친절해요 634,양이 많아요 572,가성비가 좋아요 407,재료가 신선해요 393,장안동 닭갈비 맛집장안 사거리 근처에 있는곳으로 가끔 생각날때 방문하는곳이다.작당한 맵기정도는 선택이 가능한데 난 중간맛을 선호하는편이다.적당한 매운맛에 단맛이 조화가 잘 되어있다.중간맛도 어느정도는 매우니 매운거 잘 못드시는분은 중간맛이나 보통맛으로 드시길 권장한다.볶음밥음 조금 심심할 수 있으니 찬과 함께 제공되는 양념장을 비벼먹으면 좋다.
510,닭갈비,춘천가는길 숯불닭갈비 까치산본점,서울 강서구 곰달래로 126 1층,0507-1439-0061,음식이 맛있어요 810,고기 질이 좋아요 468,친절해요 391,매장이 청결해요 276,매장이 넓어요 242,까치산 숯불닭갈비 맛집 춘천가는길 숯불닭갈비모듬구이(3가지 맛 닭갈비+닭 목살+닭 안창살)랑 된장찌개 주문해서 먹고 왔어요! 메뉴 구성 너무 좋고 양도 적당해서 두 명이 가서 맛있게 먹고 왔습니다~ 잡내 전혀 없고 양념도 다 너무 맛있었는데 특히 허브 닭갈비 허브향 은은하니 존맛이고 닭 안창에 스리라차마요 소스 찍어 먹으면 찐맛도리라 진짜 강추강추 된장찌개는 무슨 꽃게탕 처럼 칼칼하면서 속 풀리는게 안주용 해장용 다 가능합니다 내부 엄청 넓어서 회식이나 가족 모임 장소로도 좋아 보였어요! 사장님들도 다 친절하시고 가게가 전체적으로 환기도 잘 되고 엄청 깨끗해서 더욱 만족하고 왔습니다:)
511,닭갈비,다함닭갈비 먹골직영점,서울 중랑구 공릉로 32 1층 다함닭갈비,0507-1317-1580,음식이 맛있어요 591,친절해요 352,양이 많아요 232,매장이 청결해요 183,가성비가 좋아요 137,저번에 한 번 왔었는데 맛있던 기억이 있어서 이 동네로 이사하자마자 바로 또 왔습니다ㅋㅋㅋㅋ양이 진짜 많아요!!! 양뿐만 아니라 맛있기까지 해서 괜히 먹골역맛집 치면 바로 나오는 곳이 아니에요
512,닭갈비,몽촌 닭갈비,"서울 송파구 석촌호수로 298 104호, 105호",0507-1468-6791,음식이 맛있어요 201,인테리어가 멋져요 92,재료가 신선해요 81,매장이 넓어요 77,양이 많아요 76,상처받을것도 없어요! 음식도 한방이라 건강한 느낌도 향도 나고 매운건 신라면급이라니 참고하시고요 직원분들도 많이 바쁜데 모두 친절하시고 신경을 많이 써주시네요!!사장님이 담금주를 좋아하시는지 진열해두시고 멋지네요!!매장 노래선곡 야인시대먹다 말고 발차기 할뻔 했어요!!또 봐요~~
513,닭갈비,여의도 숯닭,서울 영등포구 영중로 95-1 1층,010-8100-3433,음식이 맛있어요 164,친절해요 63,특별한 메뉴가 있어요 44,가성비가 좋아요 39,양이 많아요 35,주말에 넘 맛있게 먹고왔어요ㅠㅠ닭도 큼직 두툼하고 넘 맛있어요 닭목살 처음 먹어봤는데 야들하니 맛있더라구요 김치찌개랑 감자전은 메인만틈 맛있으니 ㅋㅋㅋ 넘 강추드려요 다음 주말에 또가야징
514,닭갈비,춘천집 명가,서울 광진구 아차산로33길 7 1층,02-464-9659,음식이 맛있어요 379,매장이 넓어요 146,친절해요 128,양이 많아요 66,가성비가 좋아요 63,맛집이라고 방문함 매장 엄청 넓은데 테이블간격이 조금은 좁지 않나싶고 겨울이라 겉옷이 두꺼운데 옷 둘곳이 마땅치 않고 냄새가 좀 베는거 빼고 음식 처음 먹을땜 슴슴한가 싶다가 먹을 수록 맛이 좋았다 양념충 답게 숟가락으로 양념 쓱쓱담아서 마늘쌈 싸서 겁나 먹음 맛있었고 볶음밥까지 볶아먹었다 돼지되겠당 꿀
515,닭갈비,우리닭갈비,서울 마포구 어울마당로 136-5,02-338-1053,음식이 맛있어요 209,친절해요 110,가성비가 좋아요 98,양이 많아요 52,재료가 신선해요 44,볶음밥 양도많고 완전 맛있어요ㅋㅋㅋㅋ 우연히 가게 됐는데 고기도 맛있고 라면사리 무조건 추가해서 드세용
516,닭갈비,토닭토닭,서울 송파구 백제고분로45길 38,0507-1438-0208,음식이 맛있어요 449,친절해요 183,양이 많아요 178,매장이 넓어요 116,매장이 청결해요 93,"*기운내 토닭토닭 (1인 13,500) 2인부터 주문가능2시 이전까지는 주먹밥 제공! 완전 꿀!꼭 점심에 가길 추천 ㅎㅎ주먹밥 김 묻혀서 먹다가 닭갈비 다 먹을쯤 양념이랑 비벼 먹으면 볶음밥 됨! 완전 혜자!!양념이 매콤하면서 감칠맛 넘 좋고 양파랑 양배추가 큼직하게 올라가서 넘 좋았고 야채가 많고 깻잎까지 올려서 넘 맛났음!닭고기는 엄청 부드럽고 간이 잘 베어서 계속 들어감!쌈무랑 백김치도 너무 맛있어서 같이 먹으면 딱 조화로움!양도 많고 가성비 갑!기본 반찬으로 누룽지랑 마리네에드 토마토 나오는거 완전 고급지고 이가격에 넘 짱인듯!!석촌호수 앞이라 여기서 밥먹고 호수 산책가면 딱!가게도 넓고 통창이라 개방감도 좋음!"
517,닭갈비,조선닭갈비파전,서울 동대문구 전농로 64,0507-1312-6484,음식이 맛있어요 303,친절해요 151,가성비가 좋아요 122,양이 많아요 108,직접 잘 구워줘요 84,치즈 퐁듀랑 우동사리는 꼭 시키세요! 특제 소스로 만들어서 정말 맛있는 닭갈비네요! 매워보이지만 그렇게 맵지는 않아서 아이들이 먹어도 괜찮을 것 같아요. 치즈가 정말 고소하고 부드러워서 닭이랑 같이 먹으면 입 안 가득 천국이 펼쳐져용 잡내도 안 나고 정말 맛있게 잘 먹었슴당!!!
518,닭갈비,약수참숯불닭갈비,서울 중구 동호로 193-6 1층,0507-1386-8294,음식이 맛있어요 205,친절해요 110,양이 많아요 61,가성비가 좋아요 58,재료가 신선해요 56,약수역맛집으로 유명한 약수참숯불닭갈비는 약수역 10번출구 코앞이라 위치가 아주 좋아요! 평소에 닭갈비는 철판보다 구이닭갈비를 좋아하는데 허브 간장 양념 세가지 맛이나 있어요 주문하면 초벌돼서 나오기때문에 조금만 더 구워서 먹으면 돼요! 닭갈비는 세가지 맛 모두 주문했는데 간장은 간장대로 양념은 양념대로 또 허브는 허브향 가득해서 세가지맛 모두 맛있어요  사이드로는 수제과일양념물막국수와 날치마요주먹밥 주문했는데 진짜 양이 많아요! 그리고 맛있어서 닭갈비랑 곁들여 먹기 좋아용 고기가 정말 야들야들하고 부드러워서 그냥 먹어도 맛있고 함께 나오는 소스에 찍어먹어도 맛있어요! 음식도 음식이지만 사장님도 직원분도 친절하셔서 기분좋게 먹을 수 있었어요! 또 방문할게유 
519,닭갈비,오근내5닭갈비 안녕인사동점,서울 종로구 인사동길 49,02-733-0131,음식이 맛있어요 490,친절해요 133,양이 많아요 116,매장이 넓어요 87,재료가 신선해요 73,인사동에 맛집이 많은데 근처에 그냥 들어간 곳인데유명한 체인점인가봐요 . 직원분들이 어느정도 구워주시고 여자직원분인지 알바분인지 무심한 듯 친절하셨어요고기도 부드럽고 맛있게먹었어요. 약간 물리긴하는데이건 개인차같아요 ㅎㅎ
520,닭갈비,암사골 숯불닭갈비,서울 노원구 공릉로 101 1층,02-976-3888,음식이 맛있어요 894,친절해요 405,가성비가 좋아요 253,양이 많아요 246,고기 질이 좋아요 245,매번 닭갈비는 매워서 아이가먹기힘들었는데소금닭갈비 간장닭갈비 양념닭갈비종류가다양해서 온가족이 먹기너무좋네요^^시원한콩나물국까지^^반찬도 다양하고 고기도 신선해요^^
521,닭갈비,온초심숯불닭갈비,서울 중랑구 면목로 330-1,0507-1369-1508,음식이 맛있어요 577,가성비가 좋아요 333,양이 많아요 300,친절해요 288,고기 질이 좋아요 171,"입맛 까다로운 남편이 숯불닭갈비는 이 집이 제일 맛있대요 ,, 최근에 유행하는 닭 특수부위 프랜차이즈 싹 다 가봤는데 닭갈비는 여기가 원탑 맞는 듯  야들야들 촉촉하고 잡내가 뭐에요? 냉장 국내산 닭다리살 클라쓰 !! 당일 초벌 당일 소진이 원칙이라 올 때마다 신선하고 식감도 뷰들부들해용  거추장스러운 플레이팅 없지만 온초심 만의 소스 3종이 정말 맛있어용  은은하게 밴 숯불향이 한층 풍미를 살려주고,, 직원 분들이 직접 다 구워주셔서 편해요  사가정역에서 가깝구 가게 앞 주차도 가능한 사가정 맛집이고 원래 입소문 나 있어서 저녁 시간 때는 웨이팅 있을 수 있어요 !! 미리 예약하고 가시는 것도 좋을 듯 :-) 남녀노소 호불호 없을 메뉴에 3+3인분 가성비까지 최고 솔직히 중랑구에서 상 줘야함"
522,닭갈비,신가네해물닭갈비,서울 강동구 구천면로24길 26 1~2층,02-475-7768,음식이 맛있어요 286,친절해요 117,재료가 신선해요 53,양이 많아요 53,가성비가 좋아요 51,일반닭갈비+해물닭갈비로 각 1인분씩 시켰어요쫄면사리 넣으니깐 좀 매콤해졌습니다 (저는 괜찮았어요)맛있게 잘 먹었습니다 :-)* 화장실이 실내에 있어서 좋아요 :)
523,닭갈비,지동닭갈비 본점,서울 강북구 도봉로102길 60-7 1층 지동,0507-1377-3255,음식이 맛있어요 173,친절해요 96,매장이 청결해요 57,재료가 신선해요 43,특별한 메뉴가 있어요 38,오랜만에 방문한 닭갈비 맛집…다른 지역에서 닭갈비 먹었다가 한껏 실망하고 지동닭갈비 가서 먹고 만족감 풀 충전하고 왔습니다고기도 신선하고 양념이 잘 베여있어서 쌈무에 싸서 먹으면 최고입니다 새우도 너무 맛있고 항상 사진 찍는걸 잊어서 먹다가 찍거나 아님 다 먹고 사진 안찍은걸 기억해서 이번에는 볶음밥 사진이 빠졌네요 ㅎ 볶음밥 밑에 누룽지해서 먹으면 진짜 맛있는데…사장님도 너무 친절하고 계속 다시가게되는 맛집
524,닭갈비,항아리닭갈비막국수 구로점,서울 구로구 디지털로 300,0507-1470-3989,음식이 맛있어요 468,매장이 넓어요 290,친절해요 238,매장이 청결해요 203,양이 많아요 190,"점시에 닭갈비가 급 땡겨서 이미 여러차례 검증된 항아리 닭갈비 막국수 구로점으로 갔네요.여름에는 막국수도 맛있게 많이 먹었는데, 여긴 철판 닭갈비가 정말 예술입니다. 닭갈비 먹고 볶음밥을 볶아 먹을 생각이라 사리를 주가하거나 공기밥을 따로 주문하지 않았습니다.반찬과 함께 나오는 동치미 국물이 정말 시원하고 맛있는데, 이번엔 유독 더 새콤했던것 같네요. 그래도 너무 맛있었다는...볶음밥은 일반 볶음밥이 아닌 날치알 볶음밥으로 3명이서 3개를 주문했더니 양이 정말 많습니다. 다음엔 사리를 추가해보고 인원보다 조금 적게 볶음밥을 주문하는것도 괜찮을것 같단 생각을 했네요.디지털단지쪽에서 철판 닭갈비가 먹고 싶다면, 강추합니다!!"
525,닭갈비,닭갈비도시,서울 동대문구 망우로21길 52 춘태빌딩 B동 104호,02-2039-3982,음식이 맛있어요 148,친절해요 86,매장이 청결해요 59,가성비가 좋아요 58,매장이 넓어요 54,닭갈비 딱 조리돼서 나와서 먹기 편했습니다.  양념이랑 깻잎 궁합이 좋고 무엇보다 사장님이 알려주신대로 또띠아에 무쌈 얹고 닭갈비에 소스 뿌려먹는게 진짜 너무 맛있었습니다회기역에서 근처이기도 하고 매장도 넓어서 단체로 오기도 좋을 것 같습니다!
526,닭갈비,춘천골닭갈비,서울 노원구 상계로 90 마블러스1빌딩 1층 춘천골,02-932-8939,음식이 맛있어요 311,친절해요 117,양이 많아요 114,매장이 넓어요 113,가성비가 좋아요 71,"춘천식 철판 닭갈비 먹고싶어서 검색해보고 처음 방문해봤어요 다 익혀 나와서 먹기 편하고, 닭갈비 너무 맛있게 잘 먹고 갑니다 묵사발 시켰는데 강추해요"
527,닭갈비,오근내7닭갈비,서울 성동구 아차산로17길 48,02-2205-8889,음식이 맛있어요 379,친절해요 196,매장이 넓어요 194,양이 많아요 141,재료가 신선해요 136,성수동닭갈비 맛집 오근내성수낙낙점배가 좀 찬 상태로 갔는데도 맛있어서 게눈 감추듯 먹어버렸습니다. 매콤짭짜름한 양념이 참 맛있더라구요 ㅎㅎ 매콤이에 어울리는 메밀물막국수를 시켜서 함께 곁들였는데 국물이 시원하고 새콤한 것이 닭갈비랑 진짜 잘 어울리더라고요! 아 불과 4-5시간 전에 먹은건데 사진 올리면서 또 보니 침이 막 고이네요.. ^^;; ㅎㅎ 사장님도 넘 친절히 맞아주셔서 기분 좋게 먹고 나왔습니다.
528,닭갈비,춘천집닭갈비 방화점,서울 강서구 양천로 34 양서빌딩 1층 춘천집,0507-1436-6620,음식이 맛있어요 468,가성비가 좋아요 232,친절해요 143,양이 많아요 91,재료가 신선해요 47,닭갈비 너무 먹고 싶어서 검색해서 갔는데 평이 좋은데는 이유가 있네요! 가성비 완전 쩔구 맛도 좋습니다. 욕심내서 쫄면사리 우동사리 시켰더니 배찢어져 드러누울뻔.. 볶음밥 사진이 없어서 아깝네요. 먹느라 정신나가서 ㅋㅋ 맛도 좋은데 친절하기까지 해서 또 방문할 것 같아요
529,닭갈비,나라구한닭 정통닭갈비 왕십리점,서울 성동구 무학봉28길 19 강문빌딩 1층,02-2292-7370,음식이 맛있어요 409,친절해요 170,매장이 넓어요 150,양이 많아요 90,매장이 청결해요 84,왕십리 행당시장 뒷쪽 오랜만에 먹는 철판닭갈비깔끔하고 샐러드에 옥수수스프까지 참 좋다.콩나물닭갈비를 선택했고 매운맛 조절까지거기에 우동사리는 필수 나중에는 볶음밥이다.물론 막국수를 먹느라 나중에 볶음밥은 먹지 못했지만전체적으로 깔끔하고 직접 요리해주시고 친절하시고정말 마음에 들었던 닭갈비집이었다!
530,닭갈비,수제비먹는닭갈비,서울 성동구 왕십리로 319 암광빌딩,02-2297-8522,음식이 맛있어요 222,친절해요 83,양이 많아요 75,가성비가 좋아요 70,재료가 신선해요 49,오래된 동네맛집이에요~오랜만에 닭갈비랑 수제비 먹었는데 수제비 매운맛 매콤하니 맛있고..사리추가해서 먹은 닭갈비도 역시 맛좋아요!
531,닭갈비,장인닭갈비 강남점,서울 강남구 테헤란로1길 19,02-3452-3441,음식이 맛있어요 801,양이 많아요 292,가성비가 좋아요 247,친절해요 234,매장이 넓어요 216,논현동 점심 맛집으로 딱 좋은 장인닭갈비 강남점!동생이랑 둘이 점심 세트 메뉴에 볶음밥까지 야무지게 먹고왔다!내가 중학생때였나 고등학생때였나부터 친구들과 닭갈비 먹으러 가자! 하면 꼭 와서 먹었던 이 곳 장인닭갈비 강남점!라떼는 웨이팅하면서 먹었던 집인데.. 껄껄라면 모듬사리를 추가한 닭갈비 사이로 치즈가 와르르..!!아까 분명 배불렀는데 말이지.. 치즈 얹은 볶음밥이면 또 들어간단 말이지..? 고소 짭짤한게 역시 K-디저트조만간 또 남친 데꼬 가서 이번엔 당면사리로 추가해 먹어야겠다ㅎㅎ
532,닭갈비,문래숯불닭갈비,서울 영등포구 도림로133길 4 1층,02-2671-5525,음식이 맛있어요 215,친절해요 140,고기 질이 좋아요 77,매장이 청결해요 60,가성비가 좋아요 55,양념없이 구워먹는 담백한 숯불 닭갈비의 정석같은 곳입니다! 일단 양도 많고 고기가 아주 야들야들해요~! 제가 보기엔 닭발이 가장 하이라이트인데 사장님도 친절하셔서 한 번 방문해보세요!
533,닭갈비,계공감,서울 동작구 만양로14길 27 1층 계공감,0507-1334-3969,음식이 맛있어요 178,친절해요 114,매장이 청결해요 75,가성비가 좋아요 73,재료가 신선해요 61,막국수류는 무난해요 기성품의 맛 기본육수는 치킨스톡에 좀더 알싸한 맛을추가하면 너무 맛있을거 같아요!닭구이는 처음에만 구워주고 나중엔 셀프에요바로아래 팔각도갈빠엔 가성비론 여기로 갈거같아요
534,닭갈비,닭갈비두목 역삼점,"서울 강남구 논현로75길 13 1층, 닭갈비두목",0507-1344-5509,음식이 맛있어요 320,양이 많아요 235,가성비가 좋아요 138,친절해요 134,고기 질이 좋아요 80,역삼역 2번 출구로 나오면 걸어서 7분 거리에 있는 닭갈비 맛집이에요.매장 앞에 주차도 가능하더라고요.매장 내부는 깔끔하고 넓어서 회식 장소로도 인기가 많더라고요.특히 직원분들이 친절해서 마음에 들었어요.닭갈비는 정말 소개대로 2인분보다 많은 1인분이라는 말이 실감날 정도로 푸짐해요.그래서 양이 많은 분들이 아니라면 3인이라면 2인분만 주문해도 충분할 정도에요.직접 맛있게 구워주는데 초시계를 가져다 놓고 하기 때문에 딱딱 맞아떨어져요.닭갈비는 하나같이 부위가 큰데다가 쫄깃하면서 매콤해서 정말 맛이 좋아요.여기에 우동사리까지 들어가면 더욱 맛있게 먹을 수 있어요.가성비 맛집으로도 유명한 곳답게 양과 맛으로 승부하기 때문에 식사 시간 내내 입이 즐거웠어요.
535,닭갈비,춘천집 닭갈비막국수,서울 서대문구 연세로5가길 1,0507-1303-2361,음식이 맛있어요 417,친절해요 190,양이 많아요 99,매장이 넓어요 81,가성비가 좋아요 79,첣판음식이 먹고싶어서 어딜들어갈까 하다가 사람이 너무많아서 망서리다 춘천집 닭갈비.. 들어가봤습니다역쉬 손님이 많은이유가 있었네요첨부터 끝까지 볶아주고또볶아주고.! .치즈까지올려서 다먹고 밥도 볶아서 맛나게 먹었습니다너무 배불리 오랜만에 춘천닭갈비를 신촌서 먹고왔습니다
536,닭볶음탕,호삼촌,서울 영등포구 영등포로46길 4 2층 호삼촌,0507-1396-1666,음식이 맛있어요 459,술이 다양해요 261,친절해요 224,기본 안주가 좋아요 219,인테리어가 멋져요 215,"호삼촌은 예약 후 이용하는 걸 추천! 토요일 방문했을 때 예약이 꽉 차서 웨이팅하거나 발걸음 돌린 분들 많이 계셨어요! 태블릿으로 모든 주문•직원 호출 가능해서 편했고 안주도 다양합니다! 우삼겹 파스타, 차돌불짬뽕 둘 다 맛있었어요! 딸기 하이볼, 망고 하이볼 주문해봤는데 딸기 하이볼 진짜 맛있어요 ㅠㅠ 꼭 드세요! 괜히 대표 메뉴가 아닙니다! ಇ 분위기 내기 좋고 데이트 하러 여기 좋았던 호삼촌! 또 방문힐게요~"
537,닭볶음탕,자바라,"서울 관악구 대학6길 36 1층, B1층",0507-1392-3888,음식이 맛있어요 136,친절해요 115,양이 많아요 72,가성비가 좋아요 64,재료가 신선해요 62,치즈국물닭볶음탕 먹고 왔어요. 치즈가 녹은 닭볶음탕이 살짝 매콤하니 맛있었어요 치즈계란말이도 추가했는데 치즈가 쭈욱 늘어지는게 너무 맛있더라고요. 양도 어찌나 많던지 배터지는줄 알았어요. ㅎㅎ 사장님도 굉장히 친절했던 곳~ 저녁에 술한잔하기 좋습니다~ 
538,닭볶음탕,떡도리탕 강남본점,서울 강남구 테헤란로1길 28-9 1층,0507-1352-2940,음식이 맛있어요 1272,양이 많아요 547,친절해요 458,특별한 메뉴가 있어요 335,매장이 넓어요 292,두번째 방문입니당!! 이번에도 고기는 조금 남기고 떡은 다 먹었네요ㅎㅎㅎ 꼭 볶음밥 시켜주시고 매운거 못드시거나 아이들하고 오신분은 고추 빼달라고 요청하세요!! 뭔가 익숙하지만 새로운 맛이고 양념이 진짜루 맛있어요 같이 온 친구도 너무 맛있다고 하고 또 오겠대요ㅎㅎ 저도 또 올겁니당
539,닭볶음탕,유림 닭도리탕,서울 강서구 공항대로71길 5 유림,02-3665-3930,음식이 맛있어요 1454,양이 많아요 499,매장이 넓어요 347,친절해요 264,특별한 메뉴가 있어요 255,유림 닭볶음탕의 매운맛은 마성의 매직이에요.살벌하게 올라간 청양고추 폭탄을 이겨내면얼큰달큰한 시원한 국물과 양념 깊게 품은토종닭 살코기 맛이 끝내줘요.찰밥과의 조화도 피니시 볶음밥까지술잔을 놓지 못하게되요.이모님들도 친절하시구요.정초부터 즐겁게 잘 먹고 잘 마시고 왔어요 
540,닭볶음탕,계림,서울 종로구 돈화문로4길 39,02-2263-6658,음식이 맛있어요 1113,양이 많아요 310,친절해요 247,가성비가 좋아요 229,특별한 메뉴가 있어요 215,"광장시장 어느 좁은 골목 안.몇십 년은 족히 되어 보이는 식당들이 저마다 앞집 처마들과 맞닿아 울퉁불퉁 즐비해있다. 칙-하고 뿜는 뽀얀 연기와 얼어있는 길, 주머니에 손 꽂은 사람들을 하나씩 비켜 가며 걷다보면 곧 오래된 맛집들 사이 ‘계림’을 발견하게 된다.투박한 가스불 위 흔적 가득한 양푼이에 다진마늘이 한 숟갈 가득 올려진 벌건 닭볶음탕. 떡과 닭을 하나씩 건져먹는 동안에 팔팔 끓여지는 국물은 점점 제맛을 찾아간다. 닭을 다 먹었을 때쯤 넣은 라면는 잘 졸여진 국물과 후루룩 하다보니 그 많던 국물과 면은 온데간데없고 어느새 보이는 양푼이 바닥. 몇 가닥이라도 더 건져보자 하는 마음으로 휘휘 저어보다 콩나물로 입가심."
541,닭볶음탕,호수집,서울 중구 청파로 443,02-392-0695,음식이 맛있어요 434,친절해요 144,가성비가 좋아요 133,특별한 메뉴가 있어요 111,양이 많아요 90,서울역 유명한 맛집닭꼬치맛집이라 옛날에는 인당 몇개씩 제한이 있었던걸로 기억하는데 이제는 사라진듯 하지만 늦게가면 품절이에요~닭볶음탕 떡사리 맛있어요 떡추가 꼭 해드세요ㅎㅎ화장실 얼마전에 리모델링한거같아요 깨끗해요
