food,store_name,addr,tel,re_rank1,re_rank2,re_rank3,re_rank4,re_rank5,re_visitor
닭갈비,춘천집 닭갈비막국수,서울 서대문구 연세로5가길 1,0507-1303-2361,음식이 맛있어요 417,친절해요 190,양이 많아요 99,매장이 넓어요 81,가성비가 좋아요 79,첣판음식이 먹고싶어서 어딜들어갈까 하다가 사람이 너무많아서 망서리다 춘천집 닭갈비.. 들어가봤습니다역쉬 손님이 많은이유가 있었네요첨부터 끝까지 볶아주고또볶아주고.! .치즈까지올려서 다먹고 밥도 볶아서 맛나게 먹었습니다너무 배불리 오랜만에 춘천닭갈비를 신촌서 먹고왔습니다
닭볶음탕,호삼촌,서울 영등포구 영등포로46길 4 2층 호삼촌,0507-1396-1666,음식이 맛있어요 459,술이 다양해요 261,친절해요 224,기본 안주가 좋아요 219,인테리어가 멋져요 215,"호삼촌은 예약 후 이용하는 걸 추천! 토요일 방문했을 때 예약이 꽉 차서 웨이팅하거나 발걸음 돌린 분들 많이 계셨어요! 태블릿으로 모든 주문•직원 호출 가능해서 편했고 안주도 다양합니다! 우삼겹 파스타, 차돌불짬뽕 둘 다 맛있었어요! 딸기 하이볼, 망고 하이볼 주문해봤는데 딸기 하이볼 진짜 맛있어요 ㅠㅠ 꼭 드세요! 괜히 대표 메뉴가 아닙니다! ಇ 분위기 내기 좋고 데이트 하러 여기 좋았던 호삼촌! 또 방문힐게요~"
닭볶음탕,자바라,"서울 관악구 대학6길 36 1층, B1층",0507-1392-3888,음식이 맛있어요 136,친절해요 115,양이 많아요 72,가성비가 좋아요 64,재료가 신선해요 62,치즈국물닭볶음탕 먹고 왔어요. 치즈가 녹은 닭볶음탕이 살짝 매콤하니 맛있었어요☺️ 치즈계란말이도 추가했는데 치즈가 쭈욱 늘어지는게 너무 맛있더라고요. 양도 어찌나 많던지 배터지는줄 알았어요. ㅎㅎ 사장님도 굉장히 친절했던 곳~😀 저녁에 술한잔하기 좋습니다~ 👍👍
닭볶음탕,떡도리탕 강남본점,서울 강남구 테헤란로1길 28-9 1층,0507-1352-2940,음식이 맛있어요 1272,양이 많아요 547,친절해요 458,특별한 메뉴가 있어요 335,매장이 넓어요 292,두번째 방문입니당!! 이번에도 고기는 조금 남기고 떡은 다 먹었네요ㅎㅎㅎ 꼭 볶음밥 시켜주시고 매운거 못드시거나 아이들하고 오신분은 고추 빼달라고 요청하세요!! 뭔가 익숙하지만 새로운 맛이고 양념이 진짜루 맛있어요👍👍 같이 온 친구도 너무 맛있다고 하고 또 오겠대요ㅎㅎ 저도 또 올겁니당
닭볶음탕,유림 닭도리탕,서울 강서구 공항대로71길 5 유림,02-3665-3930,음식이 맛있어요 1454,양이 많아요 499,매장이 넓어요 347,친절해요 264,특별한 메뉴가 있어요 255,유림 닭볶음탕의 매운맛은 마성의 매직이에요.살벌하게 올라간 청양고추 폭탄을 이겨내면얼큰달큰한 시원한 국물과 양념 깊게 품은토종닭 살코기 맛이 끝내줘요.찰밥과의 조화도 피니시 볶음밥까지술잔을 놓지 못하게되요.이모님들도 친절하시구요.정초부터 즐겁게 잘 먹고 잘 마시고 왔어요 🥰
닭볶음탕,계림,서울 종로구 돈화문로4길 39,02-2263-6658,음식이 맛있어요 1113,양이 많아요 310,친절해요 247,가성비가 좋아요 229,특별한 메뉴가 있어요 215,"광장시장 어느 좁은 골목 안.몇십 년은 족히 되어 보이는 식당들이 저마다 앞집 처마들과 맞닿아 울퉁불퉁 즐비해있다. 칙-하고 뿜는 뽀얀 연기와 얼어있는 길, 주머니에 손 꽂은 사람들을 하나씩 비켜 가며 걷다보면 곧 오래된 맛집들 사이 ‘계림’을 발견하게 된다.투박한 가스불 위 흔적 가득한 양푼이에 다진마늘이 한 숟갈 가득 올려진 벌건 닭볶음탕. 떡과 닭을 하나씩 건져먹는 동안에 팔팔 끓여지는 국물은 점점 제맛을 찾아간다. 닭을 다 먹었을 때쯤 넣은 라면는 잘 졸여진 국물과 후루룩 하다보니 그 많던 국물과 면은 온데간데없고 어느새 보이는 양푼이 바닥. 몇 가닥이라도 더 건져보자 하는 마음으로 휘휘 저어보다 콩나물로 입가심."
닭볶음탕,호수집,서울 중구 청파로 443,02-392-0695,음식이 맛있어요 434,친절해요 144,가성비가 좋아요 133,특별한 메뉴가 있어요 111,양이 많아요 90,서울역 유명한 맛집닭꼬치맛집이라 옛날에는 인당 몇개씩 제한이 있었던걸로 기억하는데 이제는 사라진듯 하지만 늦게가면 품절이에요~닭볶음탕 떡사리 맛있어요 떡추가 꼭 해드세요ㅎㅎ화장실 얼마전에 리모델링한거같아요 깨끗해요
닭볶음탕,백부장집 닭한마리,서울 종로구 삼봉로 100-1,02-732-2565,음식이 맛있어요 956,친절해요 262,재료가 신선해요 217,양이 많아요 175,가성비가 좋아요 170,"예약 없이 방문했고 1시간 가까이 대기했습니다토요일 5시 방문 기준이구요! 회전율을 빠른 것 같았어요따로 웨이팅시스템은 없고 그냥 줄 서시면 되요일행분 다 오셔야 합니다 ㅎㅎ음식은 바로바로 나오고 맛있습니다!!!! 떡사리, 국수사리 꼭 추가해서 드세요 ㅎㅎ 좋은 재료 쓰시는 것 같습니다물김치도 맛있어요!!다만, 대화하기 좋은 분위기는 아니고 화장실이 너무 지저분해서ㅠㅠㅠㅠ들어갔다 그냥 나왔어요"
닭볶음탕,몽주막,서울 마포구 독막로9길 12 1층 몽주막,0507-1353-3844,음식이 맛있어요 327,술이 다양해요 160,인테리어가 멋져요 158,친절해요 146,특별한 메뉴가 있어요 126,치즈감자채전 안에 치즈 엄청 많이 들어가있는데 은은하게 올라오는 후추향까지 더해져서 진짜 도른맛.. 파김치랑 조합 너무 좋아요!!!ㅠㅠㅠㅠㅠㅠㅠㅠㅠ그리고 몽주막 육회 맛있는 거 알아서 육회물회 시켜봤는데 역시나..마싯서서 칭구랑 흡입햇서여
닭볶음탕,배터리88 홍대점,서울 마포구 와우산로19길 6 1층,0507-1487-0883,음식이 맛있어요 1243,가성비가 좋아요 1094,친절해요 742,술이 다양해요 671,음악이 좋아요 625,"홍대 정문에서 가까워서 좋았어요! 배터리 88은 특이 자리마다마다 샹들리에가 하나씩 있었는데 샹들리에가 이렇게 많은 집은 첨봐유 특이해 특이해~모든 자리에 하나씩 키오스크가있어 주문하기 편했어요 🔥🔥미도리 산토리 하이볼, 스탠다드 계란말이, 매콤 치즈 닭갈비, 진미채튀김 칠리시즈닝 이렇게 주문!!🌈🌈 메뉴가 다양해서 좋았고 황태채를 시킬까하다가 진미채로 주문했는데 탁월한 선택이었습니다! 주문할때 보니까 대리운전도 부를 수 있던데 술먹기 최적의 술집이었습니다 ㅋㅋ학부생으로 보이는 단체손님도 많았고 데이트하러 온 연인과 둘,셋이서 온 칭구들도 마니 보였어여 추천합니다🩷🩷🩷"
닭볶음탕,토속촌 삼계탕,서울 종로구 자하문로5길 5 토속촌,02-737-7444,음식이 맛있어요 3945,매장이 넓어요 1307,특별한 메뉴가 있어요 683,친절해요 611,재료가 신선해요 504,웨이팅맛도리집 외국인들이 많이와요 국물 진해요 씨트립 맛집으로 올라가있는거같아요!It is famous Korean food real jin-gook Jonna delicious
닭볶음탕,종로계림닭도리탕 충무로직영점,"서울 중구 충무로2길 43 1,2층",02-6467-6962,음식이 맛있어요 347,양이 많아요 127,친절해요 82,가성비가 좋아요 71,특별한 메뉴가 있어요 65,마늘 맛 강한 닭볶음탕… 맛있습니다. 매력있습니다.
닭볶음탕,서교주담 합정,서울 마포구 어울마당로5길 46 1층 서교주담 합정,010-5656-9309,음식이 맛있어요 406,술이 다양해요 250,인테리어가 멋져요 228,특별한 메뉴가 있어요 195,대화하기 좋아요 118,"합정, 홍대 술집 분위기가 정말 좋았던 한식주점이에요💗 데이트, 소개팅하기도 좋았던 분위기구요 조용히 대화나누기도 좋았답니다😉 매장내부는 깔끔하고 아늑하고 따뜻한 분위기에요 !!!! 합정 핫플답게 월요일부터 손님도 굉장히 많았습니다👍👍 안주는 한식안주, 주류는 전통주부터 하이볼까지 아주 다양했구요! 닭도리탕, 트러플 감자전을 주문해서 먹었는데 둘다 술안주로 딱이었어요 ㅎ ㅎ 한식안주가 딱 좋았습니당 💗 특히 닭도리랑은 얼큰해서 매콤한 국물 좋아하시는 분들께 추천드려요 ! 감자전도 겉바속촉 느낌이라서 맛있게 잘 먹었습니당 🥰🥰"
닭볶음탕,소문난집,서울 강남구 선릉로 664 건설빌딩,02-544-9257,음식이 맛있어요 155,특별한 메뉴가 있어요 45,친절해요 40,가성비가 좋아요 32,양이 많아요 28,닭볶음탕추천!!대하전도 예술이였어요~
닭볶음탕,진옥화할매원조닭한마리,서울 종로구 종로40가길 18,02-2275-9666,음식이 맛있어요 3235,매장이 넓어요 774,양이 많아요 718,특별한 메뉴가 있어요 646,가성비가 좋아요 599,정말 말이필요없어요비오는날 뜨끈한궁물외국인친구 좋아합니다그리고 소스는 간장1 식초1 다대기 맘대로섞어 찍어먹음 짱너므짠거같으면 육수부어달라해요가끔얼큰히 먹고싶다면 소스를 아예 국물에 풀어드세요~~~~
닭볶음탕,닭한마리감자탕,서울 강남구 강남대로152길 14 1층 닭한마리감자탕,0507-1407-5220,음식이 맛있어요 347,매장이 넓어요 102,친절해요 91,재료가 신선해요 85,양이 많아요 85,"뜨끄~은한 국물이 생각날 때 찾게 되는 곳!😊 내부에 테이블도 많고 공간도 넓어서 2~4명이 가기에도, 혹은 단체로 가기에도 좋아요~🤗오늘은 닭한마리에 칼국수에 죽까지 알차게 주문해서 순차적으로 맛나게 잘 먹었습니다.😄👍🏻 오래 끓일수록 국물이 진~해져서 더 맛나요~😍개인적으로 간장 소스가 좀... 별도로 만들어진 간장이 아니라 그냥 간장인 것 같아서 짠 맛만 아쥬 강렬한 게 다소 아쉽긴 합니다만...🤔 식초, 겨자 등등 넣고 본인 입맛에 맞게 소스를 만들어 먹을 수 있고, 백김치 등등 다른 반찬이랑도 먹으면 되니 즐길 방법은 여러 가지인 걸로...☺ 오늘도 역시 배터지게 잘 먹었습니다!!😅"
닭볶음탕,강남77,서울 서초구 서초대로77길 31,0507-1404-8765,음식이 맛있어요 471,술이 다양해요 329,가성비가 좋아요 270,기본 안주가 좋아요 236,인테리어가 멋져요 182,"파티션이 있어 조곤조곤 대화나누기 좋은 건전한 대학가 주점같은 분위기예요!데이트,친목,회식 전부 다 어울리는 장소구요 👍🏻강남역 초역세권 주점인데 2인분 분량의 배터지는 안주가 대부분 만원 대‼️논알콜 칵테일도 있어 좋아요🍹특히 여기 치즈닭갈비.. 눙물나게 맛있는데요 ㅠㅠㅠㅠ (자박자박한 닭갈비 국물에 주먹밥 찍먹하니 환상이구요..) 챱스테이크도 갓, 갓, 갓성비ㅠㅠㅠ (야채도 느무느무 신선해 깜놀이었답니다💓)강남역에서 가격착한 주점 혹은 맛집을 찾으신다면단언컨대 강남77만한 가성비는 없을것 같네요 ☝🏻(전 요기 강남역맛집 찜해놓고 또 가보려구요~~🫶🏻)"
닭볶음탕,큰손닭한마리,서울 송파구 백제고분로15길 59 1층 잠실동,010-2740-3366,음식이 맛있어요 387,친절해요 125,매장이 넓어요 117,재료가 신선해요 64,가성비가 좋아요 59,큰손닭한마리 궁물이 진짜 혜자롭고 은혜로운맛!!MSG 1도없는 깔끔하고 진한맛이에요^_^아이와 함께 친목모임했는데 너무 친절히 맞아주시고 자리도 안쪽에 넓게 앉게 배려해주셔갖고 좋았습니다!!
닭볶음탕,매운집,서울 구로구 경인로67길 23 201동 104호,0507-1366-4396,음식이 맛있어요 383,친절해요 166,양이 많아요 162,재료가 신선해요 99,매장이 청결해요 98,"2명이서 곱도리탕 중 37,000원짜리 먹었어요. 양이 많고 대창도 많습니다. 다 조리되어나오니 1-2분 좀 더 끓였다가 따뜻하게 먹으면 돼요. 종업원 분들도 친절하십니다. ✔️건물 내 지하주차장 주차되고 2시간 지원돼요!!"
닭볶음탕,윤정포차,서울 양천구 중앙로34길 19 1층,02-2649-6598,음식이 맛있어요 369,기본 안주가 좋아요 145,가성비가 좋아요 135,친절해요 97,특별한 메뉴가 있어요 67,닭도리탕 정말 맛있었어요 그간 신정네거리 다니면서 사람 항상 많아서 궁금했는데 이제 먹어보게 되었네요
닭볶음탕,최사장네닭,서울 마포구 연남로 4-1 1층 최사장네닭,02-334-9242,음식이 맛있어요 199,가성비가 좋아요 120,친절해요 87,양이 많아요 80,혼밥하기 좋아요 51,진짜 맛있어요떡사리 추가는 무조건!!!! (한 번 추가하고 또 한 번 더 했어요…)양도 은근 많고 기본반찬들의 구성이 훌륭해요
닭볶음탕,매운집 합정점,서울 마포구 독막로3길 25 1층,0507-1378-7599,음식이 맛있어요 386,친절해요 191,양이 많아요 137,특별한 메뉴가 있어요 126,매장이 청결해요 124,"합정역 술집 곱도리탕 맛집 매운집 합정점❣️ 대창이랑 곱창 중에 어렵게 고민하다가 곱창으로 결정!! 닭도리탕에 어느정도 곱창이 들어있겠지 했는데 통곱창이 들어있을 줄 몰랐어요👍 계란밥, 넓적당면, 치즈떡, 메추리알 기본으로 제공되는데도 절대 맛이 부족하지 않고 너무 맛있었어요!! 국내산 하림닭 사용해서인지 퍽퍽살까지 양념이 잘 베어서 촉촉하게 먹을 수 있어서 술안주로 완전 딱✨ 6시도 안됐는데 만석되는 걸 보니 웨이팅 맛집이구나 싶더라구요! 다행히 6시 전에 들어가서 네이버 예약으로 입장도 수월했어서 좋았어요 ㅎㅎ* 이 글은 제품만을 제공받아 솔직하게 작성한 글입니다."
닭볶음탕,우면동소나무집,서울 서초구 식유촌길 71 우면동소나무집,02-577-9292,음식이 맛있어요 192,특별한 메뉴가 있어요 68,양이 많아요 59,친절해요 33,주차하기 편해요 24,바삭한 감자전에 청국닭도리탕 조합 최고에요!40년동안 국내산 재료만 사용하시고단맛은 양파로 내시고청국장 잘 못먹는 초보자도 먹을 수 있을 것 같아요ㅎㅎ닭은 야들~야들감자는 쫀득 포실해서 밥에다가 국물이랑 감자 으깨서 비벼먹으니꿀 맛이었습니당ㅎㅎㅎ양도 많아요!
닭볶음탕,로비,서울 관악구 남부순환로248길 20 2층,0507-1379-2589,음식이 맛있어요 116,인테리어가 멋져요 79,술이 다양해요 76,친절해요 54,가성비가 좋아요 52,낙성대역 근처에서 간단히 분위기 내기도 너무 좋고 공간도 넓으면서 깔끔해요! 데이트 하기도 좋고 지인들과 가볍게 즐기기도 좋아요 사진은 못 찍었지만 감바스가 진촤 마싯고 무조건 바게트 추가 !!!!! 하이볼 종류도 많아서 좋아요💗💗❣️ 직원분들 친절은 덤💝
닭볶음탕,본대가 발산점,서울 강서구 공항대로 271 이천이프라자 2층,0507-1384-2833,음식이 맛있어요 765,매장이 넓어요 402,친절해요 393,양이 많아요 338,매장이 청결해요 318,"미나리 올려진 감자탕이라니,, 궁금해서 들어왔는데 넘 맛있게 잘 먹고 갑니다! 둘이서 감자탕에 수제비, 공기밥, 볶음밥 추가하니까 넘 배부르네용 ..ㅎㅎㅎㅎ직원분들도 친절하시고 맛도 있어서 담에 또 방문해보려구요 ~~"
닭볶음탕,종로계림닭도리탕 충정로점,서울 서대문구 충정로4길 12 1층,0507-1446-0514,음식이 맛있어요 144,친절해요 66,양이 많아요 44,매장이 넓어요 41,가성비가 좋아요 38,집근처 충정로역 먹자골목에 자리잡은 종로계림닭도리탕 충정로점을 다녀왔어요 눈오는 주말 저녁인데도 동네 술꾼들이 여기 다 모여있는듯 자리가 많이 차 있어요 소주한잔에 딱 어울리는 안주가 아닐까 한데 볶음밥까지 맛있네요 이런 맛집이 집근처에 있다는게 행복하네요 재방문의사 200%!
닭볶음탕,오죽이네,서울 종로구 돈화문로11가길 25,02-741-8874,음식이 맛있어요 734,매장이 넓어요 163,양이 많아요 158,친절해요 146,가성비가 좋아요 126,닭매운탕이란 메뉴를 첨 먹어봤어요! 칼국수 사리랑 너무 잘어울려서 맛있었습니다 매콤 했으면 더 맛있었을것 같아요! 일하시는 분들이 다 너무 친절하셔서 기분 좋은 식사였습니다 👍
닭볶음탕,메밀향그집,서울 종로구 대학로11길 18,0507-1360-3681,음식이 맛있어요 754,친절해요 305,양이 많아요 265,특별한 메뉴가 있어요 245,가성비가 좋아요 135,다행히 많이 안기다림.폭탄 치즈 순살 짜파 인데생각처럼 맵지는 않고치즈가 많인 좀 느끼하나 고소하고좀 짜고...먹고 나온 짜파는 기름이 섞여 진짜 느끼했음.그래서 그런지 빨리 배부른듯.메일전은 담백하니 좋았음.전용 간장이 있었으면 더 맛있었을런지도 모르지만...전반적으로 좀 바쁘고 잘 돌아봐주지 못함.상호는 메밀향이지만 메밀은 전뿐이고 닭볶음탕이 주인듯.
닭볶음탕,역삼농원,서울 강남구 논현로 333 1층 역삼농원,02-557-2080,음식이 맛있어요 310,양이 많아요 205,특별한 메뉴가 있어요 178,고기 질이 좋아요 138,가성비가 좋아요 120,닭도리탕이랑 야채튀김먹었습니다! 계란말이도 너무 맛있고 닭에 숯불맛이 일품이에요~~ 저녁에 회식자리나 모임으로 너무 좋을 것 같아요!! 매장 BGM이 너무 제취향이여서 기분좋게 있다갑니다! 다음에 또 갈게요~~👍👍👍
닭볶음탕,매운집,서울 강서구 마곡중앙로 161-8 두산더랜드파크 D동 1층 102호,0507-1359-9005,음식이 맛있어요 247,양이 많아요 126,친절해요 115,재료가 신선해요 85,매장이 청결해요 82,"마곡나루역 맛집 매운집에서 곱도리탕 2~3인분으로 곱창을 선택하고 야끼만두 사리 하나 추가해서 맵기 2단계에 소주 2병 마셨어요! 원래 데이트를 할 때는 술 별로 안 마셔서 1병만 마시거든요 그런데 얼큰하고 맛있어서 술이 술술🩵 매운 걸 좋아해서 맵기 선택 가능한 점도 좋았고 2~3인용에 닭 한 마리 다 들어가 있었어용 사리도 기본으로 유부, 메추리알, 당면, 치즈떡, 감자가 들어가 있어서 야끼 하나 추가했는데도 양이 엄청 푸짐했는데 밥까지 기본으로 주시더라고요!! 비벼도 맛있고 볶아도 맛있어요 ㅎㅎ 둘이서 진짜 완전 배부르게 먹고 왔어요 돈이 안 아까운 맛💛 7시에 방문했는데 예약했던 저희 테이블 하나 빼고 이미 만석일 만큼 인기 많은 맛집이었어요🥰 네이버 예약 필수로 하고 방문하시는 것을 추천드려요💕"
닭볶음탕,은좌식당,서울 성동구 왕십리로 330,0507-1329-5591,음식이 맛있어요 234,친절해요 141,양이 많아요 123,가성비가 좋아요 122,재료가 신선해요 73,"대로앞 골목길에 숨어져 있는 선물 같은 노포, 왕십리 닭한마리 은좌식당 왕십리냉삼으로도 유명해요닭한마리도 맛있지만 닭도리탕도 맛있어요 닭에 양념이 잘 스며들어있어서 완전 밥도둑이에요!라면사리 끓여먹으니 별미에요"
닭볶음탕,이층집 닭도리탕,서울 강남구 강남대로124길 10 2층,0507-1434-7669,음식이 맛있어요 131,친절해요 68,특별한 메뉴가 있어요 36,대화하기 좋아요 26,가성비가 좋아요 20,"회식장소로 딱인 이층집 닭도리탕입니다.여기는 한우곱도리탕이 정말 맛있습니다. 한우곱창, 닭고기, 떡사리 등 다양한 토핑이 들어있고 다채롭게 식감을 느낄 수 있습니다. 게다가 얼큰하고 칼칼한 국물이 아주 일품이며, 국물을 자작하게 하여 볶음밥으로 만들어 먹으면 정말 맛도리입니다.다만 테이블간 간격이 비좁아서 이야기를 하기에는 다소 부적합하나, 순수 맛으로만 본다면 이보다 완벽한곳은 없습니다. 날씨 추운날에도 너무나 딱인 안주라 더 유명해지기전에 한번 가보셔서 술잔을 기울이는것도 좋을것 같습니다."
닭볶음탕,77년생 곱도리 전골식당,서울 광진구 동일로24길 70 1층(화양동),0507-1360-6998,음식이 맛있어요 1093,친절해요 550,양이 많아요 465,재료가 신선해요 423,매장이 청결해요 365,"같이 나오는 두부도 짱 맛있고, 메인메뉴 곱도리탕 진짜 맛있어요!!! 우동사리 추가해먹으면 술이 술술 들어가여!!ㅎㅎ 다른 곱도리탕집은 느끼해서 잘 안게 되는데 여기는 칼칼하고 맵기도 선택할 수 있어서 자주 올 것 같습니당!ㅎㅎ❤️❤️"
닭볶음탕,순자포차 논현본점,서울 강남구 강남대로120길 11 1층,0507-1467-7816,음식이 맛있어요 426,기본 안주가 좋아요 228,친절해요 217,술이 다양해요 176,인테리어가 멋져요 154,🥘 순자씨 닭도리탕(순살) : 기본맛닭 부드럽고 기본 양도 많아요 !평소 매운걸 잘못먹는편이라 기본맛으로 시켰는대 신라면정도의맛이고..?! 살짝 매콤하니 더 맛있어요 😃마지막은 아수우니까 공기밥으로 마무리 🥄🥄🍽 경양식 돈가스범벅고기가 부드럽고 냄새도안나고 시간이지나도차가운대도 맛있어요 :)🥃순자하이볼순자포차 처음으로 방문했지만 기본적으로 둘다 양이 많고바쁘신대도 사장님도 알바생분들도 다 친절하세요👋 여기서 1차.2차 다 가능 ✔️📍6시부터 금방 자리 차서 미리 네이버 예약 아니면 매장방문을 빨리하시는게 좋을거같아요 :)
닭볶음탕,가산동닭한마리,서울 금천구 가산로 142,0507-1373-9296,음식이 맛있어요 409,친절해요 182,양이 많아요 167,가성비가 좋아요 152,매장이 넓어요 90,닭한마리 요리를 좋아해서 이곳저곳 많이 먹어봤는데 여기 국물이 원탑입니다... 술을 먹으면서 실시간으로 해장되는 느낌이라면 이해하실랑가요..? 직원분들도 친절하시고 반찬들도 모두 맛있어서 한끼 정말 맛있게 먹었어요 또오겠습니다~👍👍
닭볶음탕,목동포차,서울 양천구 목동동로 260 양지타운 B1,02-2649-1255,음식이 맛있어요 119,친절해요 59,특별한 메뉴가 있어요 25,기본 안주가 좋아요 20,가성비가 좋아요 16,며칠사이에 두번 간거면 말 다했죠!!!! 못먹어본 닭볶음탕을 먹으러 고고고1단계였지만 매웠죠~~~ 그치만 야끼만두 있으니 괜찮아요:)닭발을 잊지못해 또 시켰고 안주는 술을 부르고 불렀오요!! 에휴.... 당분간은 자제 하며 살께요.
닭볶음탕,둥지닭볶음탕 홍대점,서울 마포구 와우산로29마길 16 둥지닭볶음탕 홍대점,070-4042-4602,음식이 맛있어요 376,양이 많아요 163,특별한 메뉴가 있어요 159,친절해요 154,가성비가 좋아요 111,"둥지닭볶음탕 홍대점#생방송오늘저녁 #곱도리탕 #들깨둥지닭볶음탕입구에서부터 어미닭과 아기닭2마리가 둥지위에 종기종기 모여있아 재미난 느낌이 드는 닭볶음탕 맛집이다주문하자마자 찬으로 어묵볶음과 깍두기도 나중에 주문한 볶음밥과 먹으니 환상조합이다. 치즈는 오히려 빼고 주문하는 편이 낫다. 원래 닭볶음탕 맛도 아니게 되고 귀여운 둥지(감자튀김)위에 올라간 닭3마리가 덜 예쁘다. 먹기 아까울 정도의 플레이팅은 칭찬해. 떡과 감자, 깻잎도 들어가 있어 느끼함도 덜하고 단조롭지 않고 먹기 좋아 보이는 닭이 실제로도 맛있고 재료들이 다양해서 닭몪음탕+@를 먹는 재미까지 쏠쏠하다. 이집 볶은밥은 찬이 맛있어서 필수로 시켜야한다. 볶음밥 먹을 위는 남겨둬야 한다. 담에는 곱도리탕을 먹으러 와야 겠다."
닭볶음탕,찰랑,서울 영등포구 도림로 436-3 찰랑,0507-1491-0307,음식이 맛있어요 277,친절해요 120,인테리어가 멋져요 114,특별한 메뉴가 있어요 90,대화하기 좋아요 68,"문래하면 생각나는 찰랑! 매번 웨이팅 때문에 못들어왔는데, 오픈하자마자 들어와서 성공했어요! 순도리탕이랑 석쇠구이 너무 맛있고 특히 순도리탕 튀김 말모말모 ㅜㅜ 그리고 직원분들이 전부 친절하셔서 좋았어여!! 다음에도 방문하겠습니다❤️"
닭볶음탕,쩡곱도리탕 본점,서울 동작구 사당로30길 140 1층,02-523-5989,음식이 맛있어요 220,친절해요 83,특별한 메뉴가 있어요 57,가성비가 좋아요 50,양이 많아요 46,오랜만에 먹은 곱도리탕인데 매우 잘 먹었어요. 대창이 큼직하고 많이 들어서 국물이 더욱 고소했어요. 닭고기도 부드러워서 뼈가 잘 발립니다ㅎ 저희는 라면을 넣어서 먹었는데 라면이나 우동 넣으면 더 맛있으니 꼭 사리 넣어서 드세요. 끓이면 끓일 수록 국물이 맛있어졌어요. 그래서 마지막으로 볶음밥 먹었는데 국물이 맛있으니 볶음밥도 맛있을 수 밖에 없었습니다. 잘 먹었습니다!
닭볶음탕,다원닭한마리 빈대떡,서울 중구 을지로12길 19,02-2273-0409,음식이 맛있어요 366,친절해요 225,재료가 신선해요 195,가성비가 좋아요 179,매장이 청결해요 117,닭갈비 살코기가 부드럽고 소스가 중독적이에요볶음밥은 무조건 강추입니다!!무생채랑 같이 볶이주시는재 식감도 좋고 너무맛있었어요~~😆😆그리고 사장님게서 너무 젠틀하시고 친절하세요다음에 또 올게요~~!!
닭볶음탕,이수가,서울 동작구 동작대로29가길 30 1층,0507-1348-1372,음식이 맛있어요 414,양이 많아요 273,재료가 신선해요 251,친절해요 241,고기 질이 좋아요 143,이수 닭도리탕 찐맛집을 찾았어요 제가 먹었던 닭도리탕 중에 역대급이네요 닭도리탕 닭고기는 신선하고 양도 많고 같이 넣어 주시는 감자랑 야채 진짜 넉넉해요 양념이 너무 맛있어서 밥이랑 감자 으깨서 비벼 먹는데 밥한그릇 뚝딱. 맛있고 양많은 닭도리탕은 이수가로~♡
닭볶음탕,봉황당,서울 송파구 백제고분로9길 7 104호,0507-1442-0783,음식이 맛있어요 278,친절해요 188,가성비가 좋아요 163,양이 많아요 153,재료가 신선해요 138,"잠실새내에 이 골목에 해주냉면 이전하고 맛집들이 늘어서더니, 짝궁이 찾아낸 ‘봉황당’ 오 국물스타일의 닭볶음탕 빨간맛이 필요했던 날인데 입구에 들어서는 순간! 맵달향이 캭! 맛있는 냄새 사랑합니다. 혼밥하기도 좋아보이고(1인분 가능에 요즘물가에 가성비짱) 암튼 딱 먹는데, 특히 닭고기 신선함과 뷰드러움이 느껴져서 재료를 안아끼시는군 느껴짐 !양파가 많이들어가서 건강한 단맛인듯,국물 닭도리탕 무조건 여기로!!(매운맛 단계별 가능하고 간장맛 있어서 매운거 못드시는분도 좋을듯) 라면사리 추가했더니 또 색다른 분식+요리 맛…저 빨간국물이 과식하게 만들어요ㅠㅠ수저못내랴놓음! 암튼 신천인으로 추천추천!!!"
닭볶음탕,골목끝자락닭볶음탕,서울 관악구 봉천로53길 28 1층 끝자락닭볶음탕,0507-1342-4818,음식이 맛있어요 493,친절해요 345,양이 많아요 209,고기 질이 좋아요 203,특별한 메뉴가 있어요 197,수비드 닭볶음탕이라 닭가슴살이 엄청 부드럽고 맛있어요! 다이어트할 때 이 닭볶음탕 닭가슴살로 하면 정말 수월할텐데.. 하는 그런 생각이 드는 맛 ! 목이버섯같은 거 선호하지는 않는데 양념에 스며든 은이버섯?ㄷ도 맛있어요. 오늘은 무리해서 볶음밥 먹었는데 다들 볶음밥까지 드시길 !!
닭볶음탕,한방대가삼계탕 강남본점,서울 강남구 역삼로5길 22 2층,0507-1300-7892,음식이 맛있어요 388,매장이 넓어요 110,친절해요 103,양이 많아요 94,가성비가 좋아요 93,강남역 한방대가삼계탕국물이 한방맛으로 시원하고 해장과 감기를 뚝딱할 수 있는 국물 !!!!!!!특색있다매력있고 뒤돌면 생각나는 국물맛감자와 떡이 많고 감자가 너무 맛있는 닭한마리...!!!
닭볶음탕,원조닭한마리,서울 강남구 논현로10길 13,0507-1380-4422,음식이 맛있어요 460,매장이 넓어요 128,친절해요 105,가성비가 좋아요 79,양이 많아요 77,원조 닭 한마리짚 오랫만에 갔는데 똑같아 놀랬어요. 역시 국물이 끝내주네요
닭볶음탕,한양닭도리탕,서울 동대문구 장한로24길 15,02-2242-4805,음식이 맛있어요 153,양이 많아요 52,재료가 신선해요 29,특별한 메뉴가 있어요 27,친절해요 24,연말 가족 모임에 포장해서 맛있게 잘 먹었습니다^^
